failures,higher_yes,school_MS,studytime,Medu,Fedu,Dalc,Walc,reason_reputation,address_U,internet_yes,Mjob_teacher,reason_other,sex_M,traveltime,G3
-0.3740166363626132,0.0,1.0,-1.1219431170386418,-0.453604510405507,-0.2787680341613449,-0.543136405254532,-0.21833992984821768,0.0,1.0,0.0,0.0,0.0,0.0,-0.7594461579533764,-1.2090451448344626
-0.3740166363626132,1.0,1.0,0.08358847726281282,-0.453604510405507,-1.1879160450694493,-0.543136405254532,1.3388316577506099,0.0,1.0,1.0,0.0,1.0,1.0,0.5762735073900959,-1.2090451448344626
-0.3740166363626132,0.0,1.0,1.2891200715642674,0.4278006610111815,-1.1879160450694493,0.538138217476116,-0.21833992984821768,0.0,0.0,0.0,0.0,0.0,0.0,0.5762735073900959,-1.2090451448344626
1.3116555650216641,1.0,1.0,0.08358847726281282,-1.3350096818221955,-1.1879160450694493,-0.543136405254532,-0.9969257236476314,0.0,0.0,1.0,0.0,1.0,0.0,-0.7594461579533764,-1.5185797795475064
-0.3740166363626132,1.0,0.0,1.2891200715642674,1.30920583242787,1.5395279876548638,-0.543136405254532,-0.9969257236476314,1.0,0.0,1.0,0.0,0.0,0.0,0.5762735073900959,-1.2090451448344626
-0.3740166363626132,1.0,1.0,0.08358847726281282,-0.453604510405507,-1.1879160450694493,-0.543136405254532,-0.9969257236476314,1.0,0.0,1.0,0.0,0.0,1.0,0.5762735073900959,-3.6853222225388134
-0.3740166363626132,0.0,0.0,0.08358847726281282,-0.453604510405507,-0.2787680341613449,1.619412840206764,2.1174174515500237,1.0,1.0,1.0,0.0,0.0,1.0,-0.7594461579533764,-1.2090451448344626
4.682999967790219,0.0,0.0,-1.1219431170386418,0.4278006610111815,-0.2787680341613449,-0.543136405254532,-0.9969257236476314,0.0,1.0,0.0,0.0,0.0,1.0,0.5762735073900959,-1.2090451448344626
-0.3740166363626132,1.0,1.0,-1.1219431170386418,-0.453604510405507,-1.1879160450694493,-0.543136405254532,0.560245863951196,0.0,0.0,1.0,0.0,1.0,1.0,0.5762735073900959,-3.6853222225388134
1.3116555650216641,0.0,1.0,-1.1219431170386418,-1.3350096818221955,-0.2787680341613449,3.78196208566806,2.1174174515500237,0.0,1.0,1.0,0.0,0.0,1.0,-0.7594461579533764,-1.5185797795475064
1.3116555650216641,0.0,1.0,-1.1219431170386418,-1.3350096818221955,-1.1879160450694493,0.538138217476116,0.560245863951196,0.0,0.0,1.0,0.0,0.0,1.0,0.5762735073900959,-0.8995105101214187
-0.3740166363626132,1.0,0.0,-1.1219431170386418,-0.453604510405507,-1.1879160450694493,-0.543136405254532,-0.21833992984821768,0.0,1.0,1.0,0.0,0.0,1.0,-0.7594461579533764,-1.8281144142605503
1.3116555650216641,1.0,1.0,-1.1219431170386418,-1.3350096818221955,-1.1879160450694493,-0.543136405254532,-0.21833992984821768,0.0,0.0,1.0,0.0,0.0,0.0,0.5762735073900959,-1.2090451448344626
4.682999967790219,1.0,1.0,0.08358847726281282,-1.3350096818221955,-1.1879160450694493,-0.543136405254532,-0.9969257236476314,0.0,0.0,0.0,0.0,0.0,0.0,0.5762735073900959,-1.2090451448344626
1.3116555650216641,0.0,0.0,-1.1219431170386418,0.4278006610111815,0.6303799767467595,-0.543136405254532,-0.9969257236476314,0.0,1.0,1.0,0.0,0.0,0.0,0.5762735073900959,-1.5185797795475064
-0.3740166363626132,1.0,0.0,2.4946516658657223,0.4278006610111815,-1.1879160450694493,-0.543136405254532,-0.9969257236476314,1.0,0.0,0.0,0.0,0.0,0.0,0.5762735073900959,2.19583583700902
