activity,spot distribution_I,largest spot size_K,spot distribution_X,historically-complex,area,largest spot size_X,previous 24 hour flare activity,became complex on this pass,largest spot size_R,largest spot size_S,spot distribution_O,area of largest spot,common flares
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,2.165466354522402,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,1.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,0.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,0.9716646658302083
-0.42070313624370054,1.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,0.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,2.165466354522402,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,1.234648251949101,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
-0.42070313624370054,0.0,0.0,0.0,-0.8093641699308767,-0.1630594459306002,1.0,-0.22314530578733416,0.34781922776818025,0.0,0.0,1.0,-0.46146182576721934,-0.3437760952206292
